Region,ipcc_code_2006_for_standard_report,ipcc_code_2006_for_standard_report_name,CO2,CH4,N2O,F-gas,CO2bio,Calculated_Total_GHG,Official_AR5_Total,Difference
04_RUS,4.D,Wastewater Treatment and Discharge,0.0,27834.7045396,2693.15542755,0.0,0.0,30527.859967149998,30527.85997,2.850003511412069e-06
04_RUS,4.E,Other,0.0,862.99938256,0.0,0.0,0.0,862.99938256,862.9993825,-5.999993391014868e-08
04_RUS,5.A,Indirect N2O emissions from the atmospheric deposition of nitrogen in NOx and NH3,0.0,0.0,5241.665616249999,0.0,0.0,5241.665616249999,5241.665616,-2.499991751392372e-07
05_MNG,1.A.1.a,Main Activity Electricity and Heat Production,13618.87083,4.103792308,586.22050313,0.0,0.0,14209.195125438,14209.19513,4.561999958241358e-06
05_MNG,1.A.1.bc,Petroleum Refining - Manufacture of Solid Fuels and Other Energy Industries,13.23786,0.0083482,0.007900975,0.0,0.0,13.254109175,13.25410918,5.000000413701855e-09
05_MNG,1.A.2,Manufacturing Industries and Construction,2492.793506,4.127894008,6.586281645,0.0,0.0,2503.507681653,2503.507682,3.469999683147762e-07
05_MNG,1.A.3.a,Civil Aviation,10.82653,0.00211988,0.0802526,0.0,0.0,10.90890248,10.90890248,0.0
05_MNG,1.A.3.b_noRES,Road Transportation no resuspension,1854.486906,8.807579368,8.3434561,0.0,0.0,1871.637941468,1871.637941,-4.6800005293334834e-07
05_MNG,1.A.3.c,Railways,848.940112,1.233269044,79.36456035500001,0.0,0.0,929.537941399,929.5379414,9.999894245993346e-10
05_MNG,1.A.3.d,Water-borne Navigation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_MNG,1.A.3.e,Other Transportation,10.322752,0.0305536,0.0433752,0.0,0.0,10.396680799999999,10.3966808,1.7763568394002505e-15
05_MNG,1.A.4,Residential and other sectors,1469.692467,114.35893198800002,34.69525008,0.0,147.68652,1618.7466490680001,1618.7466490499999,-1.800026439013891e-08
05_MNG,1.A.5,Non-Specified,2340.447348,203.145936,9.83571615,0.0,33.594,2553.42900015,2553.4290004000004,2.5000053938128985e-07
05_MNG,1.B.1,Solid Fuels,422.055991,18140.4473824,0.5979147300000001,0.0,154.71748,18563.10128813,19858.847524729998,1295.7462365999963
05_MNG,1.B.2,Oil and Natural Gas,1776.865976,97.610496172,0.004356017,0.0,0.0,1874.480828189,1881.453007,6.972178811000049
05_MNG,2.A.1,Cement production,409.9158514,0.0,0.0,0.0,0.0,409.9158514,409.9158514,0.0
05_MNG,2.A.2,Lime production,45.0,0.0,0.0,0.0,0.0,45.0,45.0,0.0
05_MNG,2.A.3,Glass Production,0.153900903,0.0,0.0,0.0,0.0,0.153900903,0.153900903,0.0
05_MNG,2.A.4,Other Process Uses of Carbonates,0.240949,0.0,0.0,0.0,0.0,0.240949,0.240949,0.0
05_MNG,2.C,Metal Industry,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
05_MNG,2.D,Non-Energy Products from Fuels and Solvent Use,20.80863939,0.0,0.0,0.0,0.0,20.80863939,20.80863939,0.0
